Unnamed: 0,Akun,Anggaran/Pagu,Realisasi,%,Year
,Pendapatan Daerah,"1.051.337,18 M","1.078.567,53 M",102.59,2017
,,,,,2017
,PAD,"243.006,29 M","274.032,67 M",112.77,2017
,,,,,2017
,Pajak Daerah,"168.797,93 M","180.101,40 M",106.7,2017
,,,,,2017
,Retribusi Daerah,"11.685,66 M","9.636,83 M",82.47,2017
,,,,,2017
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"7.675,83 M","7.722,22 M",100.6,2017
,,,,,2017
,Lain-Lain PAD yang Sah,"54.846,86 M","76.572,22 M",139.61,2017
,,,,,2017
,TKDD,"736.457,25 M","717.587,41 M",97.44,2017
,,,,,2017
,Pendapatan Transfer Pemerintah Pusat,"736.457,25 M","717.587,41 M",97.44,2017
,,,,,2017
,Pendapatan Transfer Antar Daerah,"46.494,74 M","51.655,66 M",111.1,2017
,,,,,2017
,Pendapatan Lainnya,"71.873,64 M","86.947,45 M",120.97,2017
,,,,,2017
,Pendapatan Hibah,"4.602,40 M","10.561,29 M",229.47,2017
,,,,,2017
,Dana Darurat,"46,40 M","497,44 M",1072.1,2017
,,,,,2017
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"20.730,11 M","24.233,07 M",116.9,2017
,,,,,2017
,Belanja Daerah,"1.098.661,95 M","1.058.322,07 M",96.33,2017
,,,,,2017
,Belanja Pegawai,"405.034,89 M","356.961,40 M",88.13,2017
,,,,,2017
,Belanja Pegawai,"405.034,89 M","356.961,40 M",88.13,2017
,,,,,2017
,Belanja Barang Jasa,"233.877,70 M","247.844,51 M",105.97,2017
,,,,,2017
,Belanja Barang dan Jasa,"233.877,70 M","247.844,51 M",105.97,2017
,,,,,2017
,Belanja Modal,"221.687,73 M","211.652,71 M",95.47,2017
,,,,,2017
,Belanja Modal,"221.687,73 M","211.652,71 M",95.47,2017
,,,,,2017
,Belanja Lainnya,"238.061,63 M","241.863,43 M",101.6,2017
,,,,,2017
,Belanja Bagi Hasil,"41.590,18 M","46.991,30 M",112.99,2017
,,,,,2017
,Belanja Bantuan Keuangan,"116.953,57 M","110.972,24 M",94.89,2017
,,,,,2017
,Belanja Bunga,"516,07 M","2.264,84 M",438.86,2017
,,,,,2017
,Belanja Subsidi,"3.789,80 M","2.396,42 M",63.23,2017
,,,,,2017
,Belanja Hibah,"65.110,36 M","67.566,62 M",103.77,2017
,,,,,2017
,Belanja Bantuan Sosial,"7.194,75 M","10.925,52 M",151.85,2017
,,,,,2017
,Belanja Tidak Terduga,"2.906,90 M","746,50 M",25.68,2017
,,,,,2017
,Pembiayaan Daerah,"49.053,25 M","67.576,68 M",137.76,2017
,,,,,2017
,Penerimaan Pembiayaan Daerah,"65.140,18 M","87.361,60 M",134.11,2017
,,,,,2017
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"55.554,94 M","83.169,60 M",149.71,2017
,,,,,2017
,Pencairan Dana Cadangan,"1.264,32 M","885,61 M",70.05,2017
,,,,,2017
,Penjualan Kekayaan Daerah yang Dipisahkan,"66,27 M","141,09 M",212.89,2017
,,,,,2017
